Circuito;Nombre Circuito 
101-22-;La Tebaida
101-23-;Campestre
101-24-;Prominex
101-25-;La Herradura
101-26-;Padilla
109-23-;Recreo Tr 1
109-24-;Subterráneo 1 Tr 1
109-25-;Inem Tr 1
109-26-;Galán Tr 2
109-27-;Subterráneo  2 Tr 2
109-28-;Industrial Cabaña Tr 2
109-29-;Subterráneo 3 Tr 2
109-20-;Corbones Tr 1
110-22-;Tres Esquinas 
110-23-;Mirador 
110-24-;Arenales 
110-25-;Industrial 
110-26-;Acacias 
111-22-;Ciudad Dorada
111-23-;Quindos
111-24-;Pueblo Tapao
111-25-;Industrial Cenexpo
112-22-;Avenida Bolivar I
112-23-;Avenida Bolivar II
112-24-;Límites
113-23-;Yulima
113-24-;Niágara
113-26-;Mercedes del Norte
114-22-;La Pavona
114-23-;La Patria
114-24-;La Pola
114-25-;El Mesón
205-22-;Caimo
205-23-;Calarcá
205-24-;Quebrada Negra
205-25-;La Primavera
206-22-;Córdoba
206-23-;Pijao
206-24-;Génova
206-25-;Barcelona
208-22-;Rural La Floresta
208-23-;Circuito 1
208-24-;Circuito 2
208-25-;Circuito 3
208-26-;Plantas de Generación
208-27-;La Línea
208-28-;Avenida Centenario
303-23-;Baraya el Cuzco
303-24-;Montenegro Urbano 1
303-25-;Hojas Anchas
303-26-;Rural Quimbaya
303-27-;La Siria
303-28-;Montenegro Urbano 2
304-22-;La Cima
304-23-;Paraiso
304-24-;Quimbaya 2 
304-25-;Quimbaya 1
304-26-;La Mesa
304-27-;Panaca
307-22-;Salento
307-23-;Circasia
307-24-;Filandia
307-25-;La Nubia
316-22;Cantores
316-23;Parque del café
