G3E_FID;CODIGO;NODO1_ID;NODO2_ID;CIRCUITO;CAPACIDAD_NOMINAL;PROPIETARIO_1;TENSION;COOR_GPS_LON;COOR_GPS_LAT
39815833;PIRP0300;70667473;70664692;206-23-;5;EDEQ;13.2;-75,73283093;4,298731839
39850430;QURQ0112;70734859;70710747;303-26-;112,5;EDEQ;13.2;-75,74430903;4,584665266
30637004;CARP0558;70699115;70679002;205-24-;30;PARTICULAR;13.2;-75,69848069;4,458311803
30636898;CARP0246;70670999;70538211;205-24-;15;PARTICULAR;13.2;-75,6881325;4,439286406
30636901;CARQ0721;70656965;70644961;205-24-;10;EDEQ;13.2;-75,66474888;4,451875803
30636903;CARP0643;70701219;70680759;205-24-;15;PARTICULAR;13.2;-75,68101196;4,489036685
30636914;CARN0796;70532572;70529617;205-24-;112,5;PARTICULAR;13.2;-75,69557735;4,449272136
30641616;CIRP0162;70736291;70711914;303-27-;5;EDEQ;7.621;-75,68777406;4,59213487
30650846;ARUQ0316;70656649;70642107;114-23-;100;EDEQ;13.2;-75,68546473;4,543839854
30720591;ARUQ1767;70519237;70645359;114-24-;50;EDEQ;13.2;-75,70896415;4,527470079
30720598;ARRN0838;70624143;70541499;114-24-;5;PARTICULAR;13.2;-75,73106179;4,531545624
30720579;ARUQ1742;70519209;70464735;114-24-;112,5;EDEQ;13.2;-75,71083759;4,530993123
30748964;MORP0265;70521698;70489610;111-24-;30;PARTICULAR;13.2;-75,78516695;4,515102734
30748965;MORP0586;70702575;70689614;111-24-;15;PARTICULAR;7.621;-75,78688511;4,5058299
30852290;CARP0013;70699243;70679057;205-23-;30;PARTICULAR;13.2;-75,71272965;4,452606779
30852282;CARQ0049;70532392;70525959;205-23-;25;EDEQ;13.2;-75,68734019;4,494422831
30852287;CARQ0128;70700542;70538916;205-23-;75;EDEQ;13.2;-75,64339559;4,490867706
30861411;CIRQ0315;70525825;70511819;303-25-;15;EDEQ;13.2;-75,65597221;4,596301855
30861413;CIRQ0283;70735145;70711227;303-25-;15;EDEQ;13.2;-75,68174467;4,567797949
30861422;CIRP0317;70525834;70511821;303-25-;45;PARTICULAR;13.2;-75,65781629;4,60142429
30861425;CIRQ0250;70735081;70711203;303-25-;15;EDEQ;13.2;-75,69888842;4,563236843
30908866;FIUQ0036;70737127;70531736;307-24-;25;EDEQ;13.2;-75,65611821;4,673673891
30908873;CIRP0019;70737253;70715457;307-24-;10;PARTICULAR;7.621;-75,61672224;4,655078704
30908874;FIRQ0202;70732624;70730066;307-24-;5;EDEQ;7.621;-75,68492152;4,696643056
30908878;FIRQ0225;70737088;70715533;307-24-;15;EDEQ;13.2;-75,6491504;4,687093549
