G3E_FID;NODO1_ID;NODO2_ID;CIRCUITO;CODIGO_OPERATIVO;G3E_FNO;EST_ESTABLE;TIPO
31205823;70743749;0;kFED94;kFED94;18800;CLOSED;I
31133825;70743745;70703891;101-22-;101-22-;18800;CLOSED;I
31058763;70743745;70703887;101-23-;101-23-;18800;CLOSED;I
31061424;70743745;70703890;101-24-;101-24-;18800;CLOSED;I
31052485;70743745;70746494;101-25-;101-25-;18800;CLOSED;I
30986873;70743745;70703889;101-26-;101-26-;18800;CLOSED;I
31080868;70743722;70628489;101-32;101-32;18800;CLOSED;I
30638362;70743722;70628490;101-33;101-33;18800;CLOSED;I
31027364;70743722;70628491;101-35;101-35;18800;CLOSED;I
30700471;70743732;70628492;109-20-;109-20-;18800;CLOSED;I
30956934;70743732;70520240;109-23-;109-23-;18800;CLOSED;I
30792560;70743732;70520219;109-24-;109-24-;18800;CLOSED;I
30802455;70743732;70520238;109-25-;109-25-;18800;CLOSED;I
30894773;70743732;70520235;109-26-;109-26-;18800;CLOSED;I
31207601;70743732;70519879;109-27-;109-27-;18800;CLOSED;I
31089145;70743732;70520239;109-28-;109-28-;18800;CLOSED;I
30736378;70743732;70519518;109-29-;109-29-;18800;CLOSED;I
31205814;91378458;70743743;109-31;109-31;18800;OPEN;I
30931133;70743743;70628494;109-32;109-32;18800;CLOSED;I
31227455;70743728;70524274;110-22-;110-22-;18800;CLOSED;I
31109928;70743728;70524271;110-23-;110-23-;18800;CLOSED;I
31099135;70743728;70524270;110-24-;110-24-;18800;CLOSED;I
31214939;70743728;70524273;110-25-;110-25-;18800;CLOSED;I
30664703;70743728;70524272;110-26-;110-26-;18800;CLOSED;I
30923544;91316315;70743721;110-31;110-31;18800;OPEN;I
30638118;70743721;70628496;110-32;110-32;18800;CLOSED;I
30780853;90363943;70743721;110-35;110-35;18800;OPEN;I
30974487;70743736;70520921;111-22-;111-22-;18800;CLOSED;I
30817280;70743736;70520918;111-23-;111-23-;18800;CLOSED;I
30748658;70743736;70520939;111-24-;111-24-;18800;CLOSED;I
30755284;70743736;70521353;111-25-;111-25-;18800;CLOSED;I
31080514;70743731;70628498;111-32;111-32;18800;OPEN;I
30692728;70743731;70628499;111-33;111-33;18800;OPEN;I
30841880;70743739;70628500;112-22-;112-22-;18800;CLOSED;I
31044371;70743739;70517081;112-23-;112-23-;18800;CLOSED;I
30831158;70743739;507939901;112-24-;112-24-;18800;CLOSED;I
30931078;70743733;70628501;112-32;112-32;18800;CLOSED;I
30707298;70743733;70628502;112-33;112-33;18800;CLOSED;I
31205567;91833655;70743733;112-34;112-34;18800;OPEN;I
30707263;70743733;70628504;112-35;112-35;18800;CLOSED;I
31032049;70743738;70517111;113-23-;113-23-;18800;CLOSED;I
30785210;70743738;70517095;113-24-;113-24-;18800;CLOSED;I
30926880;70743738;70628505;113-26-;113-26-;18800;CLOSED;I
30642675;70743724;70628506;113-33;113-33;18800;CLOSED;I
31027565;70743724;70628507;113-34;113-34;18800;CLOSED;I
30707414;70743724;70628508;113-35;113-35;18800;CLOSED;I
47087846;70743724;91829363;113-37;113-37;18800;CLOSED;I
30931324;70743744;70628509;113-41;113-41;18800;CLOSED;I
30940296;70743727;70519454;114-22-;114-22-;18800;CLOSED;I
30650809;70743727;70519511;114-23-;114-23-;18800;CLOSED;I
30720517;70743727;70519455;114-24-;114-24-;18800;CLOSED;I
30780125;70743727;70628510;114-25-;114-25-;18800;CLOSED;I
31080891;70743726;70628511;114-31;114-31;18800;CLOSED;I
30642929;70743726;70628512;114-32;114-32;18800;CLOSED;I
30689123;70743720;70628513;205-22-;205-22-;18800;CLOSED;I
30852195;70743720;70628514;205-23-;205-23-;18800;CLOSED;I
30636797;70743720;70628515;205-24-;205-24-;18800;CLOSED;I
30766326;70743720;70628516;205-25-;205-25-;18800;CLOSED;I
30889487;89541544;70743740;205-31;205-31;18800;OPEN;I
31027310;91366114;70743740;205-32;205-32;18800;CLOSED;I
46729085;70743740;91017975;205-33;205-33;18800;CLOSED;I
31154536;70743742;70670074;206-22-;206-22-;18800;CLOSED;I
30994797;70743742;70670019;206-23-;206-23-;18800;CLOSED;I
31006728;70743742;70667514;206-24-;206-24-;18800;CLOSED;I
30919670;70743742;70670065;206-25-;206-25-;18800;CLOSED;I
31027375;70743748;70628519;206-31;206-31;18800;CLOSED;I
31205563;90583987;70743748;206-32;206-32;18800;CLOSED;I
31013212;70743729;70628521;208-22-;208-22-;18800;CLOSED;I
31194228;70743729;70628522;208-23-;208-23-;18800;CLOSED;I
30679608;70743729;70628523;208-24-;208-24-;18800;CLOSED;I
31254876;70743729;70628524;208-25-;208-25-;18800;CLOSED;I
31015402;70743729;70628525;208-26-;208-26-;18800;CLOSED;I
30930952;70743729;70628526;208-27-;208-27-;18800;CLOSED;I
39562384;70743729;84328099;208-28-;208-28-;18800;CLOSED;I
30889498;92812599;70743741;208-32;208-32;18800;OPEN;I
30931145;91378457;70743741;208-33;208-33;18800;CLOSED;I
39723503;70743741;84370692;208-35;208-35;18800;CLOSED;I
30856491;70743723;70628529;303-23-;303-23-;18800;CLOSED;I
31072330;70743723;70628530;303-24-;303-24-;18800;CLOSED;I
30861332;70743723;70628531;303-25-;303-25-;18800;CLOSED;I
30772960;70743723;70628532;303-26-;303-26-;18800;CLOSED;I
30641589;70743723;70628533;303-27-;303-27-;18800;CLOSED;I
31024259;70743723;70656285;303-28-;303-28-;18800;CLOSED;I
31027370;91316410;70743725;303-31;303-31;18800;OPEN;I
30642800;70743725;70628535;303-32;303-32;18800;CLOSED;I
31205564;70743725;70628536;303-33;303-33;18800;CLOSED;I
31204845;70743730;70628537;304-22-;304-22-;18800;CLOSED;I
31019110;70743730;70628538;304-23-;304-23-;18800;CLOSED;I
30876682;70743730;70628539;304-24-;304-24-;18800;CLOSED;I
30777066;70743730;70628540;304-25-;304-25-;18800;CLOSED;I
30692220;70743730;70628541;304-26-;304-26-;18800;CLOSED;I
30888646;70743730;70628542;304-27-;304-27-;18800;CLOSED;I
31027372;70743747;70628543;304-31;304-31;18800;CLOSED;I
49093060;70743747;508319695;304-32;304-32;18800;OPEN;I
31239816;70743737;70737340;307-22-;307-22-;18800;CLOSED;I
31173493;70743737;70628544;307-23-;307-23-;18800;CLOSED;I
30908648;70743737;70737481;307-24-;307-24-;18800;CLOSED;I
30763343;70743737;70737659;307-25-;307-25-;18800;CLOSED;I
31027313;70743746;70628545;307-31;307-31;18800;CLOSED;I
49101626;70743746;507959472;307-32;307-32;18800;CLOSED;I
30709644;70743734;70628546;316-22;316-22;18800;CLOSED;I
30781026;70743734;70628547;316-23;316-23;18800;CLOSED;I
30710382;91378421;91378422;316-31;316-31;18800;CLOSED;I
37153991;70520718;82884837;111-23-;S-PR37;19300;CLOSED;S
39479214;70743692;84304450;208-27-;S-PR38;19300;CLOSED;S
39478894;84304226;84304243;208-27-;S-PR40;19300;CLOSED;S
39515202;84314903;84314904;109-23-;S-PR45;19300;CLOSED;S
49185139;508326636;508326637;109-29-;SPR-61;19300;CLOSED;S
49194487;508335718;508335721;208-26-;SPR-62;19300;CLOSED;S
49078690;507945157;507945168;205-23-;SPR-74;19300;CLOSED;S
31154561;70670041;70744408;206-22-;SR-0001;19300;CLOSED;S
30679618;70743713;70745514;208-24-;SR-0003;19300;CLOSED;S
30852208;70700795;70745700;205-23-;SR-0004;19300;CLOSED;S
30852222;70700774;70744042;205-23-;SR-0005;19300;CLOSED;S
30763353;70737734;70744612;307-25-;SR-0006;19300;CLOSED;S
31015422;70533153;70745749;208-26-;SR-0008;19300;CLOSED;S
30679622;70701460;70745631;208-24-;SR-0009;19300;CLOSED;S
30679632;70698334;70743750;208-24-;SR-0010;19300;CLOSED;S
39297781;70732022;70744277;304-23-;SR-0011;19300;CLOSED;S
30908661;508396091;508396092;307-24-;SR-0012;19300;CLOSED;S
30641611;70736177;84431332;303-27-;SR-0014;19300;CLOSED;S
31133900;70703084;70743953;101-25-;SR-0015;19300;CLOSED;S
31239850;70737431;70744297;307-22-;SR-0016;19300;CLOSED;S
30852228;70700455;70744062;205-23-;SR-0018;19300;CLOSED;S
30852215;70533013;70745742;205-23-;SR-0019;19300;CLOSED;S
30908706;84722142;84722143;307-24-;SR-0020;19300;CLOSED;S
30692228;70743155;70744114;304-26-;SR-0022;19300;CLOSED;S
30777072;70532714;70736297;304-25-;SR-0023;19300;CLOSED;S
31239836;70633000;70745560;307-22-;SR-0025;19300;CLOSED;S
30908714;70737153;70744658;307-24-;SR-0027;19300;CLOSED;S
30986901;70701943;70744258;101-26-;SR-0028;19300;CLOSED;S
39815713;84394293;84394295;206-23-;SR-0030;19300;CLOSED;S
46283677;89539073;89539076;208-26-;SR-0033;19300;CLOSED;S
31044405;91812941;70744710;112-23-;S-001;19300;CLOSED;S
47086236;91812844;91812845;112-23-;S-005;19300;CLOSED;S
30831168;70524394;70744965;112-24-;S-007;19300;CLOSED;S
30841890;70524748;70745436;112-22-;S-009;19300;CLOSED;S
49057994;70524753;70743844;112-22-;S-010;19300;CLOSED;S
31044403;70525059;70745098;208-28-;S-015;19300;CLOSED;S
30831181;70525545;70745969;112-24-;S-020;19300;CLOSED;S
30831166;70525486;70745970;112-24-;S-021;19300;CLOSED;S
30831193;84307372;84307373;112-24-;S-022;19300;CLOSED;S
30831178;70525579;70745957;112-24-;S-023;19300;CLOSED;S
30831174;70525593;70745896;112-24-;S-024;19300;CLOSED;S
30831179;70525663;70745897;112-24-;S-025;19300;CLOSED;S
30831169;70525602;70745971;112-24-;S-026;19300;CLOSED;S
40248586;70525701;70744751;112-24-;S-027;19300;CLOSED;S
30831172;70525767;70745115;112-24-;S-028;19300;CLOSED;S
30831165;70525631;70746086;112-24-;S-029;19300;CLOSED;S
30831194;84307145;84307146;112-24-;S-030;19300;CLOSED;S
30650816;70525288;70746100;114-23-;S-034;19300;CLOSED;S
30700482;70525666;70746127;109-20-;S-037;19300;CLOSED;S
31032071;70518888;70745965;113-23-;S-039;19300;CLOSED;S
31032062;84263189;84263568;113-23-;S-041;19300;CLOSED;S
30700483;70525215;70746129;109-20-;S-042;19300;CLOSED;S
30700486;70524307;70746128;109-20-;S-047;19300;CLOSED;S
30817298;70523957;70743883;111-23-;S-052;19300;CLOSED;S
30817296;70622568;70745096;111-23-;S-053;19300;CLOSED;S
31227464;70524335;70745945;110-22-;S-056;19300;CLOSED;S
30720533;70519270;70745904;114-24-;S-058;19300;CLOSED;S
39416379;84283382;84283385;111-25-;S-060;19300;CLOSED;S
30763354;70737847;70744555;307-25-;S-063;19300;CLOSED;S
31058786;70522521;70745269;101-23-;S-065;19300;CLOSED;S
31058792;70522605;70746088;101-23-;S-068;19300;CLOSED;S
31058794;70522598;70745655;101-23-;S-069;19300;CLOSED;S
31058784;84252071;84252073;101-23-;S-072;19300;CLOSED;S
39373367;70521437;70744605;111-25-;S-073;19300;CLOSED;S
30755301;70521507;70745911;111-25-;S-074;19300;CLOSED;S
31058802;70521519;70745912;101-23-;S-075;19300;CLOSED;S
31058823;70522343;70746036;101-23-;S-077;19300;CLOSED;S
31058782;70522378;70746138;101-23-;S-078;19300;CLOSED;S
48798384;507647277;70745872;101-23-;S-079;19300;CLOSED;S
31058790;70522701;70746068;101-23-;S-081;19300;CLOSED;S
31058783;70522336;70746035;101-23-;S-083;19300;CLOSED;S
31058807;70522472;70746037;101-23-;S-085;19300;CLOSED;S
31058781;70522504;70746139;101-23-;S-086;19300;CLOSED;S
31058775;70522612;70746089;101-23-;S-088;19300;CLOSED;S
31058800;70742914;70745840;101-23-;S-091;19300;CLOSED;S
30986875;70702409;70744028;101-26-;S-092;19300;CLOSED;S
30986902;70702666;70744280;101-26-;S-093;19300;CLOSED;S
30986914;70655082;70744600;101-26-;S-098;19300;CLOSED;S
31058779;70743199;70745594;101-23-;S-100;19300;CLOSED;S
31154585;70670152;70744572;206-22-;S-1001;19300;CLOSED;S
31154592;70669814;70744479;206-22-;S-1003;19300;CLOSED;S
31154568;70669763;70744974;206-22-;S-1004;19300;CLOSED;S
31154576;70669820;70745339;206-22-;S-1005;19300;CLOSED;S
39352530;70671022;70744867;206-22-;S-1006;19300;CLOSED;S
31154606;70671018;70744866;206-22-;S-1007;19300;CLOSED;S
30994815;70667955;70744471;206-23-;S-1009;19300;CLOSED;S
30785216;70517410;70745949;113-24-;S-102;19300;CLOSED;S
31013220;70698012;70743772;208-22-;S-1038;19300;CLOSED;S
31266573;91445967;91445970;208-24-;S-1042;19300;OPEN;S
30852212;84354264;84354265;208-24-;S-1045;19300;CLOSED;S
30930960;70701082;70745202;208-27-;S-1048;19300;CLOSED;S
47242975;70523770;70745875;113-24-;S-105;19300;CLOSED;S
30930967;70657655;70744711;208-27-;S-1051;19300;CLOSED;S
31133848;70703769;70744219;101-25-;S-1059;19300;CLOSED;S
31173524;70761961;70762055;307-23-;S-1061;19300;CLOSED;S
30817299;70655680;70745133;111-23-;S-1062;19300;CLOSED;S
30664712;70524257;70745940;110-26-;S-1064;19300;CLOSED;S
39453526;70671057;70745265;206-22-;S-1066;19300;CLOSED;S
49067672;70670100;70744530;206-22-;S-1067;19300;CLOSED;S
31032061;70522444;70746015;113-23-;S-107;19300;CLOSED;S
31266576;70658639;70745415;307-23-;S-1075;19300;OPEN;S
30974500;70520543;70746090;111-22-;S-1077;19300;CLOSED;S
30894782;70782759;70782771;109-26-;S-108;19300;CLOSED;S
31266603;82898161;70782785;109-26-;S-108A;19300;OPEN;S
31266605;82898162;70782790;112-23-;S-108B;19300;OPEN;S
30894780;82898160;70782778;109-26-;S-108C;19300;CLOSED;S
30720540;70519317;70745045;114-24-;S-1084;19300;CLOSED;S
31089151;70519382;70746024;109-28-;S-1087;19300;CLOSED;S
31254884;70697826;82939676;208-25-;S-1092;19300;CLOSED;S
30926885;70657624;70744942;113-26-;S-1093;19300;CLOSED;S
30841899;70524874;70744844;112-22-;S-1096;19300;CLOSED;S
30908663;70732567;70744468;307-24-;S-1100;19300;CLOSED;S
30852214;70699814;70744095;205-23-;S-1101;19300;CLOSED;S
30908667;70736758;70744244;307-24-;S-1102;19300;CLOSED;S
49035600;507927517;507927523;206-24-;S-1106;19300;CLOSED;S
31006791;70669123;70744392;206-24-;S-1107;19300;CLOSED;S
