G3E_FID;NODO1_ID;NODO2_ID;CIRCUITO
37166580;70532933;82896229;206-23-
37166872;70737884;70737888;208-26-
37166907;82894552;84298396;208-26-
37166912;70737888;82894552;208-26-
37165361;82893722;82893723;112-22-
37166928;84298396;84298402;208-26-
37170016;82895793;82895796;307-23-
37170030;82895796;70803098;307-23-
39813240;70521898;84393785;111-24-
39813249;70521901;70521902;111-24-
39813308;84393785;84393787;111-24-
39813345;84393785;84393788;111-24-
30999672;84394342;70667615;206-24-
30999618;70667600;84394307;206-24-
39815391;84394033;70522034;316-22
39815393;70522018;84394071;316-22
39813246;84393787;70521901;111-24-
39813250;70521902;70521903;111-24-
30855028;70733948;70762920;303-23-
31082426;70518050;70519873;109-28-
31082363;70519873;70518051;109-28-
31082489;70518049;70518050;109-28-
37189161;82904812;82904813;111-24-
37189142;82904813;82904804;111-24-
37190164;70655679;82905181;111-23-
37190032;70701195;70701197;205-24-
39701480;70669641;70669643;206-25-
37191011;70738016;70738018;307-25-
37191036;70738015;70738016;307-25-
47209683;92349587;92349592;303-26-
39642056;70624142;84351884;111-25-
39642069;84351884;84351885;111-25-
39649140;84353878;84354549;208-24-
39691099;84362936;84362937;101-25-
39659397;84356455;70697791;208-25-
39701409;70668961;84364816;206-25-
39701429;84364817;70668885;206-25-
39701433;70658140;70668914;206-25-
39701437;70668885;70668829;206-25-
39701442;70668821;70668839;206-25-
39701448;70668839;70668867;206-25-
39701452;70668829;84365470;206-25-
39701453;84365473;70668813;206-25-
39650408;84353928;84353930;208-24-
39650416;84353928;70700822;208-24-
39650421;84353930;70700817;208-24-
39650376;84354549;84353928;208-24-
39712935;84368246;84369672;208-35
39712948;84368247;84368252;208-35
39712951;84368252;84369459;208-35
39689936;70525596;84362648;112-24-
39713008;84368295;84368296;101-24-
39688053;70703725;70703746;208-24-
39688047;70657013;70703650;208-24-
39688050;70657012;70703725;208-24-
39688056;70703746;70703757;208-24-
39688058;70703757;70703794;208-24-
39688059;70703786;70703817;208-24-
39688061;70703817;70703861;208-24-
39688064;70703806;70703828;208-24-
39688068;70703828;70703849;208-24-
39631298;70522465;70522461;101-23-
39631287;70522468;70522470;101-23-
39631248;70522525;70742947;101-23-
39628019;84348124;84348126;208-23-
39468993;70656698;84300216;111-24-
39468998;84300216;84303021;111-24-
39481005;70637015;70628263;111-25-
39441196;70639790;70735960;303-26-
39441197;70735960;70735962;303-26-
39440597;84291133;70521735;111-24-
31304252;70522862;70522864;101-23-
31304213;70522853;70522862;101-23-
31304221;70522862;70755744;101-23-
31304222;70755744;70623488;101-23-
30634456;70624153;70756387;205-24-
48901667;507788881;507788883;206-22-
40003921;70732245;70732249;304-22-
40003951;70732247;70732250;304-22-
39644141;70701195;84352550;205-24-
39596372;84338168;84378433;112-23-
31313545;70758817;70758963;304-23-
39992699;70731696;70731706;304-26-
39826285;70668266;84396650;206-24-
39826295;84396650;84396679;206-24-
31161536;70656303;70656304;307-23-
31161781;70639190;70639191;307-23-
31162125;70639191;70639172;307-23-
31335003;70765654;70700493;205-23-
31334998;70700488;70700491;205-23-
31335228;70700480;70700484;205-23-
31335212;70700479;70700482;205-23-
31335240;70700483;70765526;205-23-
31334160;70764929;70700465;205-23-
31335161;70700477;70700480;205-23-
31344751;70744628;70737788;307-25-
39650270;84353592;70704055;208-24-
39650303;70704055;70704056;208-24-
31357545;70772232;70772229;206-22-
31357549;70772229;70772240;206-22-
31357558;70669796;70772232;206-22-
30672500;70624922;70624923;208-27-
30672319;84304244;70698525;208-27-
30672552;70698575;84378418;208-27-
31266074;70744811;70622748;208-27-
30672144;70698556;70698555;208-27-
39992743;70532937;70532935;304-26-
31266134;70744910;70655483;208-24-
31384685;70699145;70699156;205-24-
